time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-19T09:03:24.060Z,18.2091,-68.9935,126,2.93,md,9,191,0.6838,0.59,pr,pr2019050015,2019-02-19T15:04:38.607Z,"24km S of La Romana, Dominican Republic",earthquake,4.61,2.94,0.75,6,reviewed,pr,pr
2019-02-19T08:32:19.310Z,-14.6137,-75.6209,52.37,4.9,mb,,144,2.868,0.99,us,us2000jjx5,2019-02-19T17:30:32.774Z,"46km WSW of Rio Grande, Peru",earthquake,9,7.7,0.037,232,reviewed,us,us
2019-02-19T08:10:27.940Z,-13.534,167.2804,198.33,4.6,mb,,61,8.258,1.01,us,us2000jjwz,2019-02-19T08:31:20.040Z,"48km NW of Sola, Vanuatu",earthquake,10.9,7.3,0.064,73,reviewed,us,us
2019-02-19T07:36:47.380Z,36.0609,-97.6014,2.52,2.7,mb_lg,,29,0.104,0.31,us,us2000jjwp,2019-02-19T15:03:47.482Z,"12km N of Crescent, Oklahoma",earthquake,0.6,5,0.077,44,reviewed,us,us
2019-02-19T07:03:56.010Z,18.961,-65.2528,57,2.97,md,7,331,1.0128,0.18,pr,pr2019050014,2019-02-19T12:25:59.992Z,"73km N of Culebra, Puerto Rico",earthquake,4.48,9.77,0.5,6,reviewed,pr,pr
2019-02-19T06:59:07.306Z,61.8778,-149.3105,3.9,3.3,ml,,,,0.72,ak,ak0192assm4s,2019-02-19T23:25:28.061Z,"15km NNW of Fishhook, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-02-19T06:11:42.870Z,-11.0484,-75.5607,115.52,4.5,mb,,95,1.564,0.66,us,us2000jjw0,2019-02-19T17:30:50.996Z,"24km WNW of San Ramon, Peru",earthquake,8.1,7.9,0.072,56,reviewed,us,us
2019-02-19T05:23:46.570Z,-4.9427,153.3807,50.61,5,mb,,119,1.424,0.74,us,us2000jjve,2019-02-19T05:42:45.040Z,"65km SE of Taron, Papua New Guinea",earthquake,9.8,7.5,0.081,48,reviewed,us,us
2019-02-19T05:09:43.820Z,-28.0074,-71.4511,25.1,4.8,mww,,99,0.386,0.87,us,us2000jjv0,2019-02-20T01:53:18.634Z,"92km NW of Vallenar, Chile",earthquake,5.5,4.5,0.073,18,reviewed,us,us
2019-02-19T03:57:38.540Z,18.892,-65.032,31,2.84,md,13,332,1.1088,0.24,pr,pr2019050008,2019-02-19T07:31:59.852Z,"61km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.76,15.04,0.31,12,reviewed,pr,pr
2019-02-19T03:26:51.870Z,59.4232,-146.8791,0.2,3.5,ml,,,,0.71,ak,ak0192aqtcdq,2019-02-19T03:31:57.017Z,"31km W of Middleton Island, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-02-19T03:11:10.020Z,-23.9539,-66.6681,191.55,4.8,mb,,53,2.92,1.17,us,us2000jjty,2019-02-19T03:31:38.040Z,"46km NW of San Antonio de los Cobres, Argentina",earthquake,8.5,8.6,0.101,30,reviewed,us,us
